"hgnc_symbol","gene_biotype","ensembl_gene_id","description"
"TSPAN6","protein_coding","ENSG00000000003","The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. The protein encoded by this gene is a cell surface glycoprotein and is highly similar in sequence to the transmembrane 4 superfamily member 2 protein. It functions as a negative regulator of retinoic acid-inducible gene I-like receptor-mediated immune signaling via its interaction with the mitochondrial antiviral signaling-centered signalosome. This gene uses alternative polyadenylation sites, and multiple transcript variants result from alternative splicing. [provided by RefSeq, Jul 2013]"
"CFLAR","protein_coding","ENSG00000003402","The protein encoded by this gene is a regulator of apoptosis and is structurally similar to caspase-8. However, the encoded protein lacks caspase activity and appears to be itself cleaved into two peptides by caspase-8. Several transcript variants encoding different isoforms have been found for this gene, and partial evidence for several more variants exists. [provided by RefSeq, Feb 2011]"
"TFPI","protein_coding","ENSG00000003436","This gene encodes a Kunitz-type serine protease inhibitor that regulates the tissue factor (TF)-dependent pathway of blood coagulation. The coagulation process initiates with the formation of a factor VIIa-TF complex, which proteolytically activates additional proteases (factors IX and X) and ultimately leads to the formation of a fibrin clot. The product of this gene inhibits the activated factor X and VIIa-TF proteases in an autoregulatory loop. Inhibition of the encoded protein restores hemostasis in animal models of hemophilia. This gene encodes multiple protein isoforms that differ in their inhibitory activity, specificity and cellular localization. [provided by RefSeq, Jul 2016]"
"STAB1","protein_coding","ENSG00000010327","This gene encodes a large, transmembrane receptor protein which may function in angiogenesis, lymphocyte homing, cell adhesion, or receptor scavenging. The protein contains 7 fasciclin, 16 epidermal growth factor (EGF)-like, and 2 laminin-type EGF-like domains as well as a C-type lectin-like hyaluronan-binding Link module. The protein is primarily expressed on sinusoidal endothelial cells of liver, spleen, and lymph node. The receptor has been shown to endocytose ligands such as low density lipoprotein, Gram-positive and Gram-negative bacteria, and advanced glycosylation end products. Supporting its possible role as a scavenger receptor, the protein rapidly cycles between the plasma membrane and early endosomes. [provided by RefSeq, Jul 2008]"
"IL20RA","protein_coding","ENSG00000016402","This gene encodes a member of the type II cytokine receptor family. The encoded protein is a subunit of the receptor for interleukin 20, a cytokine that may be involved in epidermal function. The interleukin 20 receptor is a heterodimeric complex consisting of the encoded protein and interleukin 20 receptor beta. This gene and interleukin 20 receptor beta are highly expressed in skin, and are upregulated in psoriasis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2013]"
"SAMD4A","protein_coding","ENSG00000020577","Sterile alpha motifs (SAMs) in proteins such as SAMD4A are part of an RNA-binding domain that functions as a posttranscriptional regulator by binding to an RNA sequence motif known as the Smaug recognition element, which was named after the Drosophila Smaug protein (Baez and Boccaccio, 2005 [PubMed 16221671]).[supplied by OMIM, Mar 2008]"
"CAPG","protein_coding","ENSG00000042493","This gene encodes a member of the gelsolin/villin family of actin-regulatory proteins. The encoded protein reversibly blocks the barbed ends of F-actin filaments in a Ca2+ and phosphoinositide-regulated manner, but does not sever preformed actin filaments. By capping the barbed ends of actin filaments, the encoded protein contributes to the control of actin-based motility in non-muscle cells. Alternatively spliced transcript variants have been observed for this gene. [provided by RefSeq, Jan 2012]"
"LTBP1","protein_coding","ENSG00000049323","The protein encoded by this gene belongs to the family of latent TGF-beta binding proteins (LTBPs). The secretion and activation of TGF-betas is regulated by their association with latency-associated proteins and with latent TGF-beta binding proteins. The product of this gene targets latent complexes of transforming growth factor beta to the extracellular matrix, where the latent cytokine is subsequently activated by several different mechanisms. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]"
"LIMA1","protein_coding","ENSG00000050405","This gene encodes a cytoskeleton-associated protein that inhibits actin filament depolymerization and cross-links filaments in bundles. It is downregulated in some cancer cell lines. Alternatively spliced transcript variants encoding different isoforms have been described for this gene, and expression of some of the variants maybe independently regulated. [provided by RefSeq, Aug 2011]"
"SYNE2","protein_coding","ENSG00000054654","The protein encoded by this gene is a nuclear outer membrane protein that binds cytoplasmic F-actin. This binding tethers the nucleus to the cytoskeleton and aids in the maintenance of the structural integrity of the nucleus. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009]"
"YBX3","protein_coding","ENSG00000060138","Enables RNA binding activity. Involved in cellular hyperosmotic response; cellular response to tumor necrosis factor; and negative regulation of programmed cell death. Located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
"SP100","protein_coding","ENSG00000067066","This gene encodes a subnuclear organelle and major component of the PML (promyelocytic leukemia)-SP100 nuclear bodies. PML and SP100 are covalently modified by the SUMO-1 modifier, which is considered crucial to nuclear body interactions. The encoded protein binds heterochromatin proteins and is thought to play a role in tumorigenesis, immunity, and gene regulation. Alternatively spliced variants have been identified for this gene; one of which encodes a high-mobility group protein. [provided by RefSeq, Aug 2011]"
"TNFRSF1A","protein_coding","ENSG00000067182","This gene encodes a member of the TNF receptor superfamily of proteins. The encoded receptor is found in membrane-bound and soluble forms that interact with membrane-bound and soluble forms, respectively, of its ligand, tumor necrosis factor alpha. Binding of membrane-bound tumor necrosis factor alpha to the membrane-bound receptor induces receptor trimerization and activation, which plays a role in cell survival, apoptosis, and inflammation. Proteolytic processing of the encoded receptor results in release of the soluble form of the receptor, which can interact with free tumor necrosis factor alpha to inhibit inflammation. Mutations in this gene underlie tumor necrosis factor receptor-associated periodic syndrome (TRAPS), characterized by fever, abdominal pain and other features. Mutations in this gene may also be associated with multiple sclerosis in human patients. [provided by RefSeq, Sep 2016]"
"HYAL2","protein_coding","ENSG00000068001","This gene encodes a weak acid-active hyaluronidase. The encoded protein is similar in structure to other more active hyaluronidases. Hyaluronidases degrade hyaluronan, one of the major glycosaminoglycans of the extracellular matrix. Hyaluronan and fragments of hyaluronan are thought to be involved in cell proliferation, migration and differentiation. Although it was previously thought to be a lysosomal hyaluronidase that is active at a pH below 4, the encoded protein is likely a GPI-anchored cell surface protein. This hyaluronidase serves as a receptor for the oncogenic virus Jaagsiekte sheep retrovirus. The gene is one of several related genes in a region of chromosome 3p21.3 associated with tumor suppression. This gene encodes two alternatively spliced transcript variants which differ only in the 5' UTR.[provided by RefSeq, Mar 2010]"
"STON1-GTF2A1L","protein_coding","ENSG00000068781","STON1-GTF2A1L mRNAs are infrequent but naturally occurring read-through products of the neighboring STON1 and GTF2A1L genes. These transcripts encode fusion proteins composed of the vast majority of each of the individual elements, stonin 1 and general transcription factor IIA, 1-like. Alternative splicing results in multiple transcript variants. The significance of these read-through variants and the function of the resulting protein products have not yet been determined. [provided by RefSeq, Oct 2010]"
"TGFBR3","protein_coding","ENSG00000069702","This locus encodes the transforming growth factor (TGF)-beta type III receptor. The encoded receptor is a membrane proteoglycan that often functions as a co-receptor with other TGF-beta receptor superfamily members. Ectodomain shedding produces soluble TGFBR3, which may inhibit TGFB signaling. Decreased expression of this receptor has been observed in various cancers. Alternatively spliced transcript variants encoding different isoforms have been identified for this gene.[provided by RefSeq, Sep 2010]"
"NEDD4","protein_coding","ENSG00000069869","This gene is the founding member of the NEDD4 family of HECT ubiquitin ligases that function in the ubiquitin proteasome system of protein degradation. The encoded protein contains an N-terminal calcium and phospholipid binding C2 domain followed by multiple tryptophan-rich WW domains and, a C-terminal HECT ubiquitin ligase catalytic domain. It plays critical role in the regulation of a number of membrane receptors, endocytic machinery components and the tumor suppressor PTEN. [provided by RefSeq, Jul 2016]"
"ST6GALNAC2","protein_coding","ENSG00000070731","ST6GALNAC2 belongs to a family of sialyltransferases that add sialic acids to the nonreducing ends of glycoconjugates. At the cell surface, these modifications have roles in cell-cell and cell-substrate interactions, bacterial adhesion, and protein targeting (Samyn-Petit et al., 2000 [PubMed 10742600]).[supplied by OMIM, Mar 2008]"
"STK10","protein_coding","ENSG00000072786","This gene encodes a member of the Ste20 family of serine/threonine protein kinases, and is similar to several known polo-like kinase kinases. The protein can associate with and phosphorylate polo-like kinase 1, and overexpression of a kinase-dead version of the protein interferes with normal cell cycle progression. The kinase can also negatively regulate interleukin 2 expression in T-cells via the mitogen activated protein kinase kinase 1 pathway. [provided by RefSeq, Jul 2008]"
"NDE1","protein_coding","ENSG00000072864","This gene encodes a member of the nuclear distribution E (NudE) family of proteins. The encoded protein is localized at the centrosome and interacts with other centrosome components as part of a multiprotein complex that regulates dynein function. This protein plays an essential role in microtubule organization, mitosis and neuronal migration. Mutations in this gene cause lissencephaly 4, a disorder characterized by lissencephaly, severe brain atrophy, microcephaly, and severe cognitive disability. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2012]"
"TTC38","protein_coding","ENSG00000075234","Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]"
"IL4R","protein_coding","ENSG00000077238","This gene encodes the alpha chain of the interleukin-4 receptor, a type I transmembrane protein that can bind interleukin 4 and interleukin 13 to regulate IgE production. The encoded protein also can bind interleukin 4 to promote differentiation of Th2 cells. A soluble form of the encoded protein can be produced by proteolysis of the membrane-bound protein, and this soluble form can inhibit IL4-mediated cell proliferation and IL5 upregulation by T-cells. Allelic variations in this gene have been associated with atopy, a condition that can manifest itself as allergic rhinitis, sinusitus, asthma, or eczema. Polymorphisms in this gene are also associated with resistance to human immunodeficiency virus type-1 infection. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Apr 2012]"
"TNS1","protein_coding","ENSG00000079308","The protein encoded by this gene localizes to focal adhesions, regions of the plasma membrane where the cell attaches to the extracellular matrix. This protein crosslinks actin filaments and contains a Src homology 2 (SH2) domain, which is often found in molecules involved in signal transduction. This protein is a substrate of calpain II. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Apr 2015]"
"COL5A3","protein_coding","ENSG00000080573","This gene encodes an alpha chain for one of the low abundance fibrillar collagens. Fibrillar collagen molecules are trimers that can be composed of one or more types of alpha chains. Type V collagen is found in tissues containing type I collagen and appears to regulate the assembly of heterotypic fibers composed of both type I and type V collagen. This gene product is closely related to type XI collagen and it is possible that the collagen chains of types V and XI constitute a single collagen type with tissue-specific chain combinations. Mutations in this gene are thought to be responsible for the symptoms of a subset of patients with Ehlers-Danlos syndrome type III. Messages of several sizes can be detected in northern blots but sequence information cannot confirm the identity of the shorter messages. [provided by RefSeq, Jul 2008]"
"ITGB5","protein_coding","ENSG00000082781","This gene encodes a beta subunit of integrin, which can combine with different alpha chains to form a variety of integrin heterodimers. Integrins are integral cell-surface receptors that participate in cell adhesion as well as cell-surface mediated signaling. The alphav beta5 integrin is involved in adhesion to vitronectin. [provided by RefSeq, Aug 2017]"
"MAVS","protein_coding","ENSG00000088888","This gene encodes an intermediary protein necessary in the virus-triggered beta interferon signaling pathways. It is required for activation of transcription factors which regulate expression of beta interferon and contributes to antiviral innate immunity. [provided by RefSeq, Jul 2020]"
"PXN","protein_coding","ENSG00000089159","This gene encodes a cytoskeletal protein involved in actin-membrane attachment at sites of cell adhesion to the extracellular matrix (focal adhesion). Alternatively spliced transcript variants encoding different isoforms have been described for this gene. These isoforms exhibit different expression pattern, and have different biochemical, as well as physiological properties (PMID:9054445). [provided by RefSeq, Aug 2011]"
"EFNB1","protein_coding","ENSG00000090776","The protein encoded by this gene is a type I membrane protein and a ligand of Eph-related receptor tyrosine kinases. It may play a role in cell adhesion and function in the development or maintenance of the nervous system. [provided by RefSeq, Jul 2008]"
"ITGA6","protein_coding","ENSG00000091409","The gene encodes a member of the integrin alpha chain family of proteins. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 6 subunit. This subunit may associate with a beta 1 or beta 4 subunit to form an integrin that interacts with extracellular matrix proteins including members of the laminin family. The alpha 6 beta 4 integrin may promote tumorigenesis, while the alpha 6 beta 1 integrin may negatively regulate erbB2/HER2 signaling. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2015]"
"TGFB2","protein_coding","ENSG00000092969","This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate a latency-associated peptide (LAP) and a mature peptide, and is found in either a latent form composed of a mature peptide homodimer, a LAP homodimer, and a latent TGF-beta binding protein, or in an active form consisting solely of the mature peptide homodimer. The mature peptide may also form heterodimers with other TGF-beta family members. Disruption of the TGF-beta/SMAD pathway has been implicated in a variety of human cancers. A chromosomal translocation that includes this gene is associated with Peters' anomaly, a congenital defect of the anterior chamber of the eye. Mutations in this gene may be associated with Loeys-Dietz syndrome. This gene encodes multiple isoforms that may undergo similar proteolytic processing. [provided by RefSeq, Aug 2016]"
"BAMBI","protein_coding","ENSG00000095739","This gene encodes a transmembrane glycoprotein related to the type I receptors of the transforming growth factor-beta (TGF-beta) family, whose members play important roles in signal transduction in many developmental and pathological processes. The encoded protein however is a pseudoreceptor, lacking an intracellular serine/threonine kinase domain required for signaling. Similar proteins in frog, mouse and zebrafish function as negative regulators of TGF-beta, which has led to the suggestion that the encoded protein may function to limit the signaling range of the TGF-beta family during early embryogenesis. [provided by RefSeq, Jul 2008]"
"CATSPERG","protein_coding","ENSG00000099338","CATSPERG is a subunit of the CATSPER (see CATSPER1; MIM 606389) sperm calcium channel, which is required for sperm hyperactivated motility and male fertility (Wang et al., 2009 [PubMed 19516020]).[supplied by OMIM, Jul 2010]"
"HSD3B7","protein_coding","ENSG00000099377","This gene encodes an enzyme which is involved in the initial stages of the synthesis of bile acids from cholesterol and a member of the short-chain dehydrogenase/reductase superfamily. The encoded protein is a membrane-associated endoplasmic reticulum protein which is active against 7-alpha hydrosylated sterol substrates. Mutations in this gene are associated with a congenital bile acid synthesis defect which leads to neonatal cholestasis, a form of progressive liver disease. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2008]"
"MKNK2","protein_coding","ENSG00000099875","This gene encodes a member of the calcium/calmodulin-dependent protein kinases (CAMK) Ser/Thr protein kinase family, which belongs to the protein kinase superfamily. This protein contains conserved DLG (asp-leu-gly) and ENIL (glu-asn-ile-leu) motifs, and an N-terminal polybasic region which binds importin A and the translation factor scaffold protein eukaryotic initiation factor 4G (eIF4G). This protein is one of the downstream kinases activated by mitogen-activated protein (MAP) kinases. It phosphorylates the eukaryotic initiation factor 4E (eIF4E), thus playing important roles in the initiation of mRNA translation, oncogenic transformation and malignant cell proliferation. In addition to eIF4E, this protein also interacts with von Hippel-Lindau tumor suppressor (VHL), ring-box 1 (Rbx1) and Cullin2 (Cul2), which are all components of the CBC(VHL) ubiquitin ligase E3 complex. Multiple alternatively spliced transcript variants have been found, but the full-length nature and biological activity of only two variants are determined. These two variants encode distinct isoforms which differ in activity and regulation, and in subcellular localization. [provided by RefSeq, Aug 2011]"
"ABHD4","protein_coding","ENSG00000100439","Predicted to enable lysophosphatidic acid acyltransferase activity and lysophospholipase activity. Predicted to be involved in N-acylphosphatidylethanolamine metabolic process; lipid homeostasis; and phosphatidic acid biosynthetic process. Predicted to act upstream of or within N-acylethanolamine metabolic process. Predicted to be located in endoplasmic reticulum membrane. Predicted to be active in lipid droplet and mitochondrion. [provided by Alliance of Genome Resources, Apr 2022]"
"PLTP","protein_coding","ENSG00000100979","The protein encoded by this gene is one of at least two lipid transfer proteins found in human plasma. The encoded protein transfers phospholipids from triglyceride-rich lipoproteins to high density lipoprotein (HDL). In addition to regulating the size of HDL particles, this protein may be involved in cholesterol metabolism. At least two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
"TUBB1","protein_coding","ENSG00000101162","This gene encodes a member of the beta tubulin protein family. Beta tubulins are one of two core protein families (alpha and beta tubulins) that heterodimerize and assemble to form microtubules. This protein is specifically expressed in platelets and megakaryocytes and may be involved in proplatelet production and platelet release. A mutations in this gene is associated with autosomal dominant macrothrombocytopenia. Two pseudogenes of this gene are found on chromosome Y.[provided by RefSeq, Jul 2010]"
"CST3","protein_coding","ENSG00000101439","The cystatin superfamily encompasses proteins that contain multiple cystatin-like sequences. Some of the members are active cysteine protease inhibitors, while others have lost or perhaps never acquired this inhibitory activity. There are three inhibitory families in the superfamily, including the type 1 cystatins (stefins), type 2 cystatins and the kininogens. The type 2 cystatin proteins are a class of cysteine proteinase inhibitors found in a variety of human fluids and secretions, where they appear to provide protective functions. The cystatin locus on chromosome 20 contains the majority of the type 2 cystatin genes and pseudogenes. This gene is located in the cystatin locus and encodes the most abundant extracellular inhibitor of cysteine proteases, which is found in high concentrations in biological fluids and is expressed in virtually all organs of the body. A mutation in this gene has been associated with amyloid angiopathy. Expression of this protein in vascular wall smooth muscle cells is severely reduced in both atherosclerotic and aneurysmal aortic lesions, establishing its role in vascular disease. In addition, this protein has been shown to have an antimicrobial function, inhibiting the replication of herpes simplex virus. Alternative splicing results in multiple transcript variants encoding a single protein. [provided by RefSeq, Nov 2014]"
"MYL12A","protein_coding","ENSG00000101608","This gene encodes a nonsarcomeric myosin regulatory light chain. This protein is activated by phosphorylation and regulates smooth muscle and non-muscle cell contraction. This protein may also be involved in DNA damage repair by sequestering the transcriptional regulator apoptosis-antagonizing transcription factor (AATF)/Che-1 which functions as a repressor of p53-driven apoptosis. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 8.[provided by RefSeq, Dec 2014]"
"LAMA1","protein_coding","ENSG00000101680","This gene encodes one of the alpha 1 subunits of laminin. The laminins are a family of extracellular matrix glycoproteins that have a heterotrimeric structure consisting of an alpha, beta and gamma chain. These proteins make up a major component of the basement membrane and have been implicated in a wide variety of biological processes including cell adhesion, differentiation, migration, signaling, neurite outgrowth and metastasis. Mutations in this gene may be associated with Poretti-Boltshauser syndrome. [provided by RefSeq, Sep 2014]"
"TBL1X","protein_coding","ENSG00000101849","The protein encoded by this gene has sequence similarity with members of the WD40 repeat-containing protein family. The WD40 group is a large family of proteins, which appear to have a regulatory function. It is believed that the WD40 repeats mediate protein-protein interactions and members of the family are involved in signal transduction, RNA processing, gene regulation, vesicular trafficking, cytoskeletal assembly and may play a role in the control of cytotypic differentiation. This encoded protein is found as a subunit in corepressor SMRT (silencing mediator for retinoid and thyroid receptors) complex along with histone deacetylase 3 protein. This gene is located adjacent to the ocular albinism gene and it is thought to be involved in the pathogenesis of the ocular albinism with late-onset sensorineural deafness phenotype. Four transcript variants encoding two different isoforms have been found for this gene. This gene is highly similar to the Y chromosome TBL1Y gene. [provided by RefSeq, Nov 2008]"
"ABCD1","protein_coding","ENSG00000101986","The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the ALD subfamily, which is involved in peroxisomal import of fatty acids and/or fatty acyl-CoAs in the organelle. All known peroxisomal ABC transporters are half transporters which require a partner half transporter molecule to form a functional homodimeric or heterodimeric transporter. This peroxisomal membrane protein is likely involved in the peroxisomal transport or catabolism of very long chain fatty acids. Defects in this gene have been identified as the underlying cause of adrenoleukodystrophy, an X-chromosome recessively inherited demyelinating disorder of the nervous system. [provided by RefSeq, Jul 2008]"
"GDPD3","protein_coding","ENSG00000102886","Enables phosphoric diester hydrolase activity. Involved in N-acylethanolamine metabolic process. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Apr 2022]"
"TTC23","protein_coding","ENSG00000103852","Predicted to be involved in positive regulation of smoothened signaling pathway. Predicted to be located in cilium. [provided by Alliance of Genome Resources, Apr 2022]"
"DECR1","protein_coding","ENSG00000104325","Enables 2,4-dienoyl-CoA reductase (NADPH) activity; NADPH binding activity; and identical protein binding activity. Involved in fatty acid beta-oxidation. Located in cytosol; mitochondrion; and nucleoplasm. Part of catalytic complex. [provided by Alliance of Genome Resources, Apr 2022]"
"IKBKB","protein_coding","ENSG00000104365","The protein encoded by this gene phosphorylates the inhibitor in the inhibitor/NF-kappa-B complex, causing dissociation of the inhibitor and activation of NF-kappa-B. The encoded protein itself is found in a complex of proteins. Several transcript variants, some protein-coding and some not, have been found for this gene. [provided by RefSeq, Sep 2011]"
"GSDMD","protein_coding","ENSG00000104518","Gasdermin D is a member of the gasdermin family. Members of this family appear to play a role in regulation of epithelial proliferation. Gasdermin D has been suggested to act as a tumor suppressor. Alternatively spliced transcript variants have been described. [provided by RefSeq, Oct 2009]"
