"hgnc_symbol","gene_biotype","ensembl_gene_id","description"
"SCYL3","protein_coding","ENSG00000000457","This gene encodes a protein with a kinase domain and four HEAT repeats. The encoded protein interacts with the C-terminal domain of ezrin, an ERM protein, and may play a role in cell adhesion and migration. Alternative splicing results in multiple transcript variants encoding multiple isoforms. [provided by RefSeq, Jun 2012]"
"FUCA2","protein_coding","ENSG00000001036","This gene encodes a plasma alpha-L-fucosidase, which represents 10-20% of the total cellular fucosidase activity. The protein is a member of the glycosyl hydrolase 29 family, and catalyzes the hydrolysis of the alpha-1,6-linked fucose joined to the reducing-end N-acetylglucosamine of the carbohydrate moieties of glycoproteins. This enzyme is essential for Helicobacter pylori adhesion to human gastric cancer cells. [provided by RefSeq, Aug 2010]"
"NFYA","protein_coding","ENSG00000001167","The protein encoded by this gene is one subunit of a trimeric complex, forming a highly conserved transcription factor that binds to CCAAT motifs in the promoter regions in a variety of genes. Subunit A associates with a tight dimer composed of the B and C subunits, resulting in a trimer that binds to DNA with high specificity and affinity. The sequence specific interactions of the complex are made by the A subunit, suggesting a role as the regulatory subunit. In addition, there is evidence of post-transcriptional regulation in this gene product, either by protein degradation or control of translation. Further regulation is represented by alternative splicing in the glutamine-rich activation domain, with clear tissue-specific preferences for the two isoforms. [provided by RefSeq, Jul 2008]"
"ANKIB1","protein_coding","ENSG00000001629","Predicted to enable ubiquitin conjugating enzyme binding activity and ubiquitin protein ligase activity. Predicted to be involved in positive regulation of proteasomal ubiquitin-dependent protein catabolic process; protein polyubiquitination; and ubiquitin-dependent protein catabolic process. Predicted to be part of ubiquitin ligase complex. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
"NDUFAF7","protein_coding","ENSG00000003509","This gene encodes an assembly factor protein which helps in the assembly and stabilization of Complex I, a large multi-subunit enzyme in the mitochondrial respiratory chain. Complex I is involved in several physiological activities in the cell, including metabolite transport and ATP synthesis. The encoded protein is a methyltransferase which methylates Arg85 of a subunit of Complex I in the early stages of its assembly. A pseudogene related to this gene is located on chromosome 8. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2016]"
"AK2","protein_coding","ENSG00000004455","Adenylate kinases are involved in regulating the adenine nucleotide composition within a cell by catalyzing the reversible transfer of phosphate groups among adenine nucleotides. Three isozymes of adenylate kinase, namely 1, 2, and 3, have been identified in vertebrates; this gene encodes isozyme 2. Expression of these isozymes is tissue-specific and developmentally regulated. Isozyme 2 is localized in the mitochondrial intermembrane space and may play a role in apoptosis. Mutations in this gene are the cause of reticular dysgenesis. Alternate splicing results in multiple transcript variants. Pseudogenes of this gene are found on chromosomes 1 and 2.[provided by RefSeq, Nov 2010]"
"RECQL","protein_coding","ENSG00000004700","The protein encoded by this gene is a member of the RecQ DNA helicase family. DNA helicases are enzymes involved in various types of DNA repair, including mismatch repair, nucleotide excision repair and direct repair. The encoded protein is involved in the processing of Holliday junctions, the suppression of sister chromatid exchanges, telomere maintenance, and is required for genotoxic stress resistance. Defects in this gene have been associated with several types of cancer. [provided by RefSeq, Jan 2017]"
"SLC25A13","protein_coding","ENSG00000004864","This gene is a member of the mitochondrial carrier family. The encoded protein contains four EF-hand Ca(2+) binding motifs in the N-terminal domain, and localizes to mitochondria. The protein catalyzes the exchange of aspartate for glutamate and a proton across the inner mitochondrial membrane, and is stimulated by calcium on the external side of the inner mitochondrial membrane. Mutations in this gene result in citrullinemia, type II. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, May 2009]"
"KMT2E","protein_coding","ENSG00000005483","This gene is a member of the myeloid/lymphoid or mixed-lineage leukemia (MLL) family and encodes a protein with an N-terminal PHD zinc finger and a central SET domain. Overexpression of the protein inhibits cell cycle progression. Alternate transcriptional splice variants have been characterized. [provided by RefSeq, Jul 2008]"
"FBXL3","protein_coding","ENSG00000005812","This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbls class and, in addition to an F-box, contains several tandem leucine-rich repeats and is localized in the nucleus. [provided by RefSeq, Jul 2008]"
