"hgnc_symbol","gene_biotype","ensembl_gene_id","description"
"NIPAL3","protein_coding","ENSG00000001461","Predicted to enable magnesium ion transmembrane transporter activity. Predicted to be involved in magnesium ion transport. Predicted to be integral component of membrane. Predicted to be active in membrane. [provided by Alliance of Genome Resources, Apr 2022]"
"KRIT1","protein_coding","ENSG00000001631","This gene encodes a protein containing four ankyrin repeats, a band 4.1/ezrin/radixin/moesin (FERM) domain, and multiple NPXY sequences. The encoded protein is localized in the nucleus and cytoplasm. It binds to integrin cytoplasmic domain-associated protein-1 alpha (ICAP1alpha), and plays a critical role in beta1-integrin-mediated cell proliferation. It associates with junction proteins and RAS-related protein 1A (Rap1A), which requires the encoded protein for maintaining the integrity of endothelial junctions. It is also a microtubule-associated protein and may play a role in microtubule targeting. Mutations in this gene result in cerebral cavernous malformations. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Sep 2009]"
"LASP1","protein_coding","ENSG00000002834","This gene encodes a member of a subfamily of LIM proteins, characterized by a LIM motif and a domain of Src homology region 3, and also a member of the nebulin family of actin-binding proteins. The encoded protein is a cAMP and cGMP dependent signaling protein and binds to the actin cytoskeleton at extensions of the cell membrane. The encoded protein has been linked to metastatic breast cancer, hematopoetic tumors such as B-cell lymphomas, and colorectal cancer. [provided by RefSeq, Oct 2012]"
"M6PR","protein_coding","ENSG00000003056","This gene encodes a member of the P-type lectin family. P-type lectins play a critical role in lysosome function through the specific transport of mannose-6-phosphate-containing acid hydrolases from the Golgi complex to lysosomes. The encoded protein functions as a homodimer and requires divalent cations for ligand binding. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. A pseudogene of this gene is located on the long arm of chromosome X. [provided by RefSeq, May 2011]"
"LIG3","protein_coding","ENSG00000005156","This gene is a member of the DNA ligase family. Each member of this family encodes a protein that catalyzes the joining of DNA ends but they each have a distinct role in DNA metabolism. The protein encoded by this gene is involved in excision repair and is located in both the mitochondria and nucleus, with translation initiation from the upstream start codon allowing for transport to the mitochondria and translation initiation from a downstream start codon allowing for transport to the nucleus. Additionally, alternate transcriptional splice variants, encoding different isoforms, have been characterized. [provided by RefSeq, Jul 2008]"
"RPAP3","protein_coding","ENSG00000005175","This gene encodes an RNA polymerase II-associated protein. The encoded protein may function in transcriptional regulation and may also regulate apoptosis. Alternatively spliced transcript variants have been described. [provided by RefSeq, Mar 2009]"
"ACSM3","protein_coding","ENSG00000005187","Enables butyrate-CoA ligase activity. Predicted to be involved in acyl-CoA metabolic process and fatty acid biosynthetic process. Located in mitochondrion. Implicated in IgA glomerulonephritis. Biomarker of ulcerative colitis. [provided by Alliance of Genome Resources, Apr 2022]"
"ZNF195","protein_coding","ENSG00000005801","This gene encodes a protein belonging to the Krueppel C2H2-type zinc-finger protein family. These family members are transcription factors that are implicated in a variety of cellular processes. This gene is located near the centromeric border of chromosome 11p15.5, next to an imprinted domain that is associated with maternal-specific loss of heterozygosity in Wilms' tumors. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2012]"
"GDE1","protein_coding","ENSG00000006007","Predicted to enable glycerophosphodiester phosphodiesterase activity; glycerophosphoinositol glycerophosphodiesterase activity; and lysophospholipase activity. Predicted to be involved in N-acylethanolamine metabolic process; ethanolamine metabolic process; and phospholipid metabolic process. Predicted to be located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
"PHTF2","protein_coding","ENSG00000006576","Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Apr 2022]"
